state,zip_code,population,avg_income,starbucks_count,dunkin_count
AK,99501,7690,79615,1,0
AK,99502,11860,84374,4,0
AK,99503,7510,61570,1,0
AK,99504,19440,60499,5,0
AK,99505,2280,42041,1,0
AK,99506,2950,41770,1,0
AK,99507,18470,81524,3,0
AK,99508,15170,58087,2,0
AK,99515,11140,97081,5,0
AK,99516,9780,155935,0,0
AK,99517,8060,83134,1,0
AK,99518,5190,69427,0,0
AK,99540,160,76118,0,0
AK,99556,1080,58462,0,0
AK,99559,3090,61618,0,0
AK,99567,4160,84334,0,0
AK,99568,130,65076,0,0
AK,99572,220,66618,0,0
AK,99573,440,51961,0,0
AK,99577,12770,94125,3,0
AK,99586,230,48691,0,0
AK,99588,660,61596,0,0
AK,99603,5550,70630,1,0
AK,99610,1080,70375,0,0
AK,99611,6450,70488,0,0
AK,99615,6250,64086,1,0
AK,99631,140,70800,0,0
AK,99639,610,60742,0,0
AK,99645,13180,75391,2,0
AK,99654,15060,73455,4,0
AK,99664,2260,64704,1,0
AK,99669,7680,79739,2,0
AK,99672,1630,72597,0,0
AK,99674,690,57392,0,0
AK,99676,960,58205,0,0
AK,99686,2000,85171,0,0
AK,99688,1320,59090,0,0
AK,99701,8110,58197,2,0
AK,99702,1290,44655,0,0
AK,99703,3320,39828,1,0
AK,99705,9040,69635,1,0
AK,99709,10920,77753,3,0
AK,99712,4420,83079,0,0
AK,99714,450,68064,0,0
AK,99737,1840,66305,0,0
AK,99743,600,75793,0,0
AK,99760,320,62771,0,0
AK,99780,800,52762,0,0
AK,99801,12210,76521,2,0
AK,99824,1130,80381,0,0
AK,99827,1270,69940,0,0
AK,99833,1700,67335,0,0
AK,99835,4470,70781,0,0
AK,99901,6280,69699,1,0
AL,35004,5200,58128,0,0
AL,35005,3190,40926,0,0
AL,35006,1240,52750,0,0
AL,35007,12050,61695,3,0
AL,35010,7840,52348,0,0
AL,35014,1600,49988,0,0
AL,35016,7210,53402,0,0
AL,35019,890,49962,0,0
AL,35020,8950,28403,0,0
AL,35022,10170,58743,1,1
AL,35023,10120,49501,0,0
AL,35031,2960,44918,0,0
AL,35033,1370,57230,0,0
AL,35034,1310,41089,0,0
AL,35035,570,89075,0,0
AL,35040,7880,57311,0,0
AL,35042,2240,48769,0,0
AL,35043,5610,88507,0,0
AL,35044,3110,44936,0,0
AL,35045,5570,50124,0,0
AL,35046,2320,62284,0,0
AL,35049,1570,53883,0,0
AL,35051,3420,66096,0,0
AL,35053,1100,73270,0,0
AL,35054,1780,74426,0,0
AL,35055,8060,56088,1,1
AL,35057,5330,58688,0,0
AL,35058,4230,55726,0,0
AL,35061,620,36530,0,0
AL,35062,3220,59292,0,0
AL,35063,1220,45713,0,0
AL,35064,4060,35662,0,0
AL,35068,3840,51800,1,0
AL,35071,7600,66141,1,0
AL,35072,1790,40127,0,0
AL,35073,940,38845,0,0
AL,35077,5300,44716,0,1
AL,35078,940,60101,0,0
AL,35079,3570,55485,0,0
AL,35080,8270,75661,0,0
AL,35083,1170,48987,0,0
AL,35085,3400,47892,0,0
AL,35087,830,43113,0,0
AL,35089,740,35394,0,0
AL,35091,1330,72163,0,0
AL,35094,6330,60978,0,0
AL,35096,3450,54348,0,0
AL,35097,760,49214,0,0
AL,35098,560,45500,0,0
AL,35111,7290,65983,0,0
AL,35114,3160,68593,0,0
AL,35115,5350,47565,0,0
AL,35116,2040,66707,0,0
AL,35117,2710,66440,0,0
AL,35118,1320,49397,0,0
AL,35120,6370,57172,0,0
AL,35121,5880,54885,0,0
AL,35124,11830,84924,0,1
AL,35125,4460,46093,0,0
AL,35126,9540,53563,0,0
AL,35127,4350,52184,0,0
AL,35128,4360,65449,0,0
AL,35130,1250,45804,0,0
AL,35131,1570,43672,0,0
AL,35133,1680,51035,0,0
AL,35135,810,58060,0,0
AL,35136,660,51110,0,0
AL,35143,1240,58530,0,0
AL,35146,4620,69816,0,0
AL,35147,2330,76815,0,0
AL,35148,1080,44792,0,0
AL,35150,7000,44322,0,0
AL,35151,2940,52315,0,0
AL,35160,9610,42717,0,0
AL,35171,1340,55673,0,0
AL,35172,1140,44723,0,0
AL,35173,13140,91855,0,0
AL,35175,2090,59440,0,0
AL,35176,330,45818,0,0
AL,35178,1450,51663,0,0
AL,35179,3890,53750,0,0
AL,35180,5750,60232,0,1
AL,35183,290,48203,0,0
AL,35184,2090,47440,0,0
AL,35186,2060,73700,0,0
AL,35188,1140,56971,0,0
AL,35203,1440,132191,1,0
AL,35204,3370,27593,0,0
AL,35205,7590,65072,2,0
AL,35206,6400,32245,0,0
AL,35207,3110,26956,0,0
AL,35208,5500,29120,0,0
AL,35209,11970,117103,3,2
AL,35210,6670,66547,1,0
AL,35211,9960,32317,0,0
AL,35212,4450,38912,2,0
AL,35213,7160,248519,0,0
AL,35214,8140,38442,0,0
AL,35215,19620,34706,0,0
AL,35216,16190,94917,2,1
AL,35217,4900,35761,0,0
AL,35218,2430,26203,0,0
AL,35221,1700,28820,0,0
AL,35222,4050,102687,0,0
AL,35223,5560,372351,2,0
AL,35224,2130,31368,0,0
AL,35226,16940,105514,1,0
AL,35228,4130,30323,0,0
AL,35233,940,83706,2,1
AL,35234,1760,26763,0,0
AL,35235,9260,43474,2,1
AL,35242,25910,144725,3,1
AL,35243,10280,147386,1,0
AL,35244,16680,103046,3,0
AL,35401,9970,35741,1,1
AL,35404,8040,42113,2,0
AL,35405,18530,50094,0,1
AL,35406,6970,145137,0,0
AL,35441,440,45963,0,0
AL,35442,1800,36848,0,0
AL,35443,690,31744,0,0
AL,35444,1550,53058,0,0
AL,35446,840,49578,0,0
AL,35447,1230,41986,0,0
AL,35452,1610,55724,0,0
AL,35453,4740,50601,0,1
AL,35456,1820,46844,0,0
AL,35458,230,50239,0,0
AL,35459,320,38487,0,0
AL,35460,210,30080,0,0
AL,35461,670,48398,0,0
AL,35462,1820,34647,0,0
AL,35463,780,53487,0,0
AL,35464,180,26027,0,0
AL,35466,2230,53678,0,0
AL,35469,120,41975,0,0
AL,35470,1860,43945,0,0
AL,35473,7250,61722,0,0
AL,35474,2880,51492,0,0
AL,35475,7060,82701,0,0
AL,35476,3410,44128,0,0
AL,35480,680,58211,0,0
AL,35481,1300,41113,0,0
AL,35490,1820,59149,0,0
AL,35501,3620,45125,0,0
AL,35503,3330,51628,0,0
AL,35504,5260,65097,0,0
AL,35540,900,48414,0,0
AL,35541,1320,65008,0,0
AL,35542,430,46232,0,0
AL,35543,350,43454,0,0
AL,35544,220,44640,0,0
AL,35546,1500,48821,0,0
AL,35548,560,38000,0,0
AL,35549,1360,41400,0,0
AL,35550,1850,47684,0,0
AL,35552,370,74510,0,0
AL,35553,1680,49683,0,0
AL,35554,420,49830,0,0
AL,35555,3640,45672,0,0
AL,35563,1540,47309,0,0
AL,35564,790,42308,0,0
AL,35565,4670,45806,0,0
AL,35570,3930,44448,0,0
AL,35571,320,45256,0,0
AL,35572,400,58975,0,0
AL,35574,560,48625,0,0
AL,35575,370,44016,0,0
AL,35576,1180,49167,0,0
AL,35578,1840,44566,0,0
AL,35579,1180,45473,0,0
AL,35580,1460,47758,0,0
AL,35581,1890,41589,0,0
AL,35582,1620,54475,0,0
AL,35585,600,45666,0,0
AL,35586,1560,44436,0,0
AL,35587,310,51787,0,0
AL,35592,1670,46358,0,0
AL,35593,670,44901,0,0
AL,35594,2880,52219,0,0
AL,35601,13500,48867,1,1
AL,35603,14270,68506,1,0
AL,35610,740,49759,0,0
AL,35611,10330,49809,1,1
AL,35613,9780,83334,0,0
AL,35614,3050,47524,0,0
AL,35616,1400,47897,0,0
AL,35618,750,38878,0,0
AL,35619,2060,53466,0,0
AL,35620,3760,53213,0,0
AL,35621,1200,50595,0,0
AL,35622,2760,45861,0,0
AL,35630,12550,45785,1,0
AL,35633,8540,55868,0,0
AL,35634,4560,78801,0,0
AL,35640,10810,60754,0,0
AL,35643,1270,44000,0,0
AL,35645,5800,67568,0,0
AL,35646,1790,47377,0,0
AL,35647,440,52679,0,0
AL,35648,1570,51094,0,0
AL,35650,5450,50431,0,0
AL,35651,410,48202,0,0
AL,35652,3470,58807,0,0
AL,35653,4410,45393,0,0
AL,35654,3000,43602,0,0
AL,35660,3740,40716,0,0
AL,35661,7940,63551,0,1
AL,35670,3190,54898,0,0
AL,35671,920,54391,0,0
AL,35672,2400,50944,0,0
AL,35673,3410,53540,0,0
AL,35674,8030,53886,0,0
AL,35677,710,43353,0,0
AL,35739,2200,53108,0,0
AL,35740,1260,46579,0,0
AL,35741,1540,109942,0,0
AL,35744,940,42886,0,0
AL,35746,350,42745,0,0
AL,35747,2480,59783,0,0
AL,35748,3360,89182,0,0
AL,35749,12080,70992,0,0
AL,35750,6030,53921,0,0
AL,35752,810,48876,0,0
AL,35754,2260,56588,0,0
AL,35755,290,58544,0,0
AL,35756,9130,90189,0,0
AL,35757,7770,77452,0,0
AL,35758,21560,95867,3,1
AL,35759,4440,71238,0,0
AL,35760,2110,53265,0,0
AL,35761,5350,66805,0,0
AL,35763,9020,114114,0,0
AL,35764,240,38504,0,0
AL,35765,1450,43273,0,0
AL,35768,4580,48782,0,0
AL,35769,4170,75929,0,0
AL,35771,1380,45723,0,0
AL,35772,1800,44491,0,0
AL,35773,5690,56104,0,0
AL,35775,340,40070,0,0
AL,35776,1440,44725,0,0
AL,35801,10480,125956,3,1
AL,35802,11470,95874,2,1
AL,35803,13730,80748,0,1
AL,35805,7820,27888,0,1
AL,35806,12190,75394,2,0
AL,35808,430,96425,0,0
AL,35810,13430,35191,0,0
AL,35811,12780,64529,0,0
AL,35816,5630,31082,0,0
AL,35824,4600,84773,0,0
AL,35901,7320,62905,0,0
AL,35903,7160,41154,0,0
AL,35904,5250,40706,1,0
AL,35905,2690,51935,0,0
AL,35906,4440,54992,0,0
AL,35907,4010,67589,0,0
AL,35950,8600,41965,0,0
AL,35951,5010,42411,0,0
AL,35952,2710,44331,0,0
AL,35953,3040,53004,0,0
AL,35954,4580,40116,0,0
AL,35956,3510,45795,0,0
AL,35957,6260,43392,0,0
AL,35958,1160,48425,0,0
AL,35959,1820,47848,0,0
AL,35960,3770,51657,0,0
AL,35961,2210,37876,0,0
AL,35962,2620,42425,0,0
AL,35963,620,38209,0,0
AL,35966,1310,45051,0,0
AL,35967,6300,47861,0,0
AL,35968,2230,53396,0,0
AL,35971,1780,45290,0,0
AL,35972,500,48142,0,0
AL,35973,1000,43228,0,0
AL,35974,710,40543,0,0
AL,35975,350,48685,0,0
AL,35976,7080,68105,0,0
AL,35978,2020,53294,0,0
AL,35979,530,40628,0,0
